Date,Open,High,Low,Close,Adj Close,Volume
2011-05-01,109600,113700,99300,104800,100175.1797,1443108
2011-06-01,105200,116400,104200,111000,106101.5625,1041721
2011-07-01,111200,143900,109500,132000,126174.8359,3486556
2011-08-01,133200,140800,111800,127000,121395.4844,6823098
2011-09-01,128000,149300,126000,143400,137071.75,2703842
2011-10-01,138000,152000,125000,135900,129902.7422,3380775
2011-11-01,135000,150100,127500,146000,139557,2679817
2011-12-01,148500,150000,119500,120000,114704.3906,2030144
2012-01-01,121000,133700,120000,131900,127740.0781,1865982
2012-02-01,130700,131600,109500,112700,109145.6094,3591998
2012-03-01,112700,124000,108200,119100,115343.7734,2876597
2012-04-01,120000,124600,104900,106000,102656.9219,2628238
2012-05-01,106000,115200,100000,101100,97911.46094,3229986
2012-06-01,101500,107800,91000,102300,99073.61719,3233854
2012-07-01,101000,112700,97300,110600,107111.8516,2247447
2012-08-01,109700,113900,102300,113300,109726.6875,2732591
2012-09-01,113300,115700,106100,113500,109920.3906,2712845
2012-10-01,113500,114400,87800,93700,90744.85156,3658187
2012-11-01,93700,94600,83200,84900,82222.39063,2386766
2012-12-01,85200,92400,84900,91100,88226.84375,1399626
2013-01-01,91100,105500,90700,102100,100137.3047,1884302
2013-02-01,102300,110500,94400,95600,93762.25,2176907
2013-03-01,95600,96300,88700,91700,89937.22656,1590147
2013-04-01,92700,93300,81800,90000,88269.89844,1601943
2013-05-01,90000,93900,82700,85300,83660.25781,1841931
2013-06-01,85000,85000,77000,78900,77383.28125,1325886
2013-07-01,79100,88700,78900,87700,86014.11719,1212283
2013-08-01,87900,90000,84300,85000,83366.01563,1188411
2013-09-01,85000,94000,84500,92700,90918.00781,1027801
2013-10-01,92000,95900,86800,88500,86798.73438,904620
2013-11-01,87800,88500,81400,84900,83267.94531,753827
2013-12-01,85300,88800,83200,84000,82385.24219,630265
2014-01-01,84000,87200,77200,80000,79514.59375,1216396
2014-02-01,80000,80700,69600,70000,69575.26563,1566704
2014-03-01,70000,80500,68400,78200,77725.51563,3016871
2014-04-01,79100,81700,71300,74900,74445.53906,1636525
2014-05-01,74900,107600,70400,97800,97206.58594,7886759
2014-06-01,98300,121800,90700,117000,116290.0859,12192458
2014-07-01,117000,135300,111000,131700,130900.9063,10376486
2014-08-01,130500,183100,129200,165100,164098.25,16638866
2014-09-01,162000,172900,144200,157700,156743.1406,8875974
2014-10-01,163100,173300,123500,146000,145114.125,17969769
2014-11-01,145000,150500,125100,146700,145809.875,13956329
2014-12-01,145200,145300,119600,123600,122850.0469,9368006
2015-01-01,123600,160000,123600,152700,151989,30820272
2015-02-01,152100,152500,130200,133100,132480.2656,8514524
2015-03-01,133300,135400,106700,115400,114862.6875,16487567
2015-04-01,114400,119400,105800,107900,107397.6016,15461024
2015-05-01,107900,120800,99000,117300,116753.8359,12718090
